beds,baths,size_m2,rent_thb,built_year,subdistrict,district,province
1,1.0,26.0,12000,,Suan Luang,Suan Luang,Bangkok
1,1.0,43.0,42000,,Khlong Toei Nuea,Vadhana,Bangkok
2,1.0,43.0,25000,,Si Phraya,Bang Rak,Bangkok
,1.0,40.0,23000,,Lumphini,Pathum Wan,Bangkok
1,1.0,32.0,16000,,Bang Na,Bang Na,Bangkok
1,1.0,33.0,16500,,Si Lom,Bang Rak,Bangkok
1,1.0,37.0,16000,,Bang Kapi,Huai Khwang,Bangkok
,1.0,40.0,20000,,Thung Wat Don,Sathon,Bangkok
1,1.0,31.0,16000,,Sam Sen Nai,Phaya Thai,Bangkok
1,10.0,35.0,24000,,Khlong Tan,Khlong Toei,Bangkok
2,1.0,84.0,25000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,54.0,48000,,Bang Na,Bang Na,Bangkok
1,1.0,47.0,29000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,41.43,16000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,48.0,20000,,Bang Na,Bang Na,Bangkok
1,1.0,38.0,14000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,35.0,15000,,Bowon Niwet,Phra Nakhon,Bangkok
1,1.0,41.5,20000,,Bang Na,Bang Na,Bangkok
1,1.0,39.0,18500,,Bang Na,Bang Na,Bangkok
1,1.0,33.0,14000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,33.0,12000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,30.0,12000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,48.0,29500,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,85.0,190000,,Lumphini,Pathum Wan,Bangkok
1,1.0,27.0,12000,,Bowon Niwet,Phra Nakhon,Bangkok
1,1.0,37.0,24000,,Phra Khanong Nuea,Vadhana,Bangkok
2,1.0,47.0,24000,,Bang Chak,Phra Khanong,Bangkok
2,1.0,36.0,28000,,Din Daeng,Din Daeng,Bangkok
2,1.0,55.0,37000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,25.0,17000,,Makkasan,Ratchathewi,Bangkok
1,1.0,30.0,19500,,Sam Sen Nok,Huai Khwang,Bangkok
1,1.0,52.0,27000,,Khlong Tan Nuea,Vadhana,Bangkok
,1.0,43.0,18000,,Bang Yi Ruea,Thon Buri,Bangkok
1,1.0,60.0,21000,,Sam Sen Nai,Phaya Thai,Bangkok
1,1.0,38.0,28000,,Thung Mahamek,Sathon,Bangkok
1,1.0,33.0,16500,,Khlong Ton Sai,Khlong San,Bangkok
2,1.0,47.0,50000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,35.0,15000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,31.0,35000,,Thanon Phet Buri,Ratchathewi,Bangkok
1,1.0,35.0,40000,,Thanon Phet Buri,Ratchathewi,Bangkok
2,1.0,50.0,23000,,Din Daeng,Din Daeng,Bangkok
1,1.0,50.0,39000,,Lumphini,Pathum Wan,Bangkok
2,1.0,67.0,17000,,Chong Nonsi,Yan Nawa,Bangkok
1,1.0,52.0,25000,,Sam Sen Nai,Phaya Thai,Bangkok
1,1.0,63.0,28000,,Wat Phraya Krai,Bang Kho Laem,Bangkok
,1.0,35.0,14000,,Phra Khanong Nuea,Vadhana,Bangkok
2,1.0,45.0,25000,,Bang Lamphu Lang,Khlong San,Bangkok
2,1.0,75.0,21500,,Bang Phongphang,Yan Nawa,Bangkok
1,1.0,29.0,19000,,Khlong Tan Nuea,Vadhana,Bangkok
,1.0,26.0,10000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,37.8,16500,,Bang Kapi,Huai Khwang,Bangkok
2,1.0,55.0,33000,,Bang Phongphang,Yan Nawa,Bangkok
1,1.0,36.0,23000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,36.0,13000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,62.0,24000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,25.36,11000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,43.5,20000,,Si Lom,Bang Rak,Bangkok
1,1.0,58.0,28000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,46.5,20000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,41.0,13000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,27.5,15000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,33.0,23000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,59.0,36000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,71.0,28000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,50.0,15000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,30.0,17000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,29.0,17000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,59.0,30000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,43.0,38000,,Din Daeng,Din Daeng,Bangkok
1,1.0,35.0,25000,,Thanon Phaya Thai,Ratchathewi,Bangkok
2,1.0,60.0,25000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,90.0,42000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,82.9,44000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,90.0,35000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,39.0,15500,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,46.0,18000,,Khlong Tan Nuea,Vadhana,Bangkok
,1.0,29.0,20000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,63.0,36999,,Wat Phraya Krai,Bang Kho Laem,Bangkok
1,1.0,33.0,14500,,Bang Na,Bang Na,Bangkok
,1.0,24.0,18000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,49.0,35000,,Si Lom,Bang Rak,Bangkok
1,1.0,28.0,17000,,Phra Khanong,Khlong Toei,Bangkok
,1.0,29.0,13500,,Bang Na,Bang Na,Bangkok
1,1.0,58.0,75000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,28.0,17000,,Makkasan,Ratchathewi,Bangkok
2,1.0,32.0,14000,,Bang Na,Bang Na,Bangkok
1,1.0,39.0,15000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,35.0,17000,,Bang Kapi,Huai Khwang,Bangkok
,1.0,28.0,18000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,44.0,35000,,Din Daeng,Din Daeng,Bangkok
1,1.0,30.0,14000,,Din Daeng,Din Daeng,Bangkok
1,1.0,44.0,22000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,26.0,17000,,Din Daeng,Din Daeng,Bangkok
1,1.0,36.0,25000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,50.0,28000,,Thung Mahamek,Sathon,Bangkok
1,1.0,40.0,14000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,35.9,30000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,31.58,16000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,32.0,16000,,Phra Khanong,Khlong Toei,Bangkok
2,1.0,52.0,25000,,Phra Khanong Nuea,Vadhana,Bangkok
1,2.0,52.0,18000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,39.0,25000,,Thung Mahamek,Sathon,Bangkok
2,1.0,51.0,30000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,37.0,14000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,53.6,50000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,30.0,17500,,Huai Khwang,Huai Khwang,Bangkok
1,2.0,68.0,28000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,40.0,30000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,24.0,15000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,47.0,33000,,Huai Khwang,Huai Khwang,Bangkok
,1.0,22.0,18500,,Maha Phruettharam,Bang Rak,Bangkok
,1.0,27.0,18000,,Studio Pathum Wan,Pathum Wan,Bangkok
1,1.0,40.0,7000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,35.0,21000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,39.0,30000,,Din Daeng,Din Daeng,Bangkok
1,1.0,24.0,17999,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,27.0,9700,,Din Daeng,Din Daeng,Bangkok
1,1.0,65.0,26000,,Makkasan,Ratchathewi,Bangkok
1,1.0,28.5,23000,,Si Phraya,Bang Rak,Bangkok
,1.0,25.0,14000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,28.0,20000,,Si Phraya,Bang Rak,Bangkok
1,1.0,35.0,28000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,37.0,15000,,Huai Khwang,Huai Khwang,Bangkok
,1.0,23.0,14500,,Makkasan,Ratchathewi,Bangkok
1,1.0,33.0,25000,,Sam Sen Nai,Phaya Thai,Bangkok
1,1.0,24.0,12000,,Din Daeng,Din Daeng,Bangkok
1,1.0,54.0,68000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,31.0,20000,,Thung Phaya Thai,Ratchathewi,Bangkok
1,1.0,46.0,55000,,Lumphini,Pathum Wan,Bangkok
1,1.0,67.0,55000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,46.0,40000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,31.0,15000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,30.0,12000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,33.0,17000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,52.0,50000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,35.0,26000,,Lumphini,Pathum Wan,Bangkok
1,1.0,26.0,17000,,Makkasan,Ratchathewi,Bangkok
1,1.0,35.0,19500,,Huai Khwang,Huai Khwang,Bangkok
,1.0,25.0,16000,,Bang Lamphu Lang,Khlong San,Bangkok
,1.0,27.0,23000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,28.0,22000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,40.0,27000,,Makkasan,Ratchathewi,Bangkok
1,1.0,33.0,15000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,42.0,25000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,42.0,15000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,57.0,40000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,48.0,15000,,Din Daeng,Din Daeng,Bangkok
,1.0,22.0,15500,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,34.0,23000,,Huai Khwang,Huai Khwang,Bangkok
2,1.0,54.0,24000,,Si Lom,Bang Rak,Bangkok
1,1.0,35.0,14000,,Phra Khanong,Khlong Toei,Bangkok
,1.0,25.0,16000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,35.6,20000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,30.0,20000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,30.0,18498,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,36.0,18000,,Si Lom,Bang Rak,Bangkok
1,1.0,28.0,11000,,Suan Luang,Suan Luang,Bangkok
1,1.0,24.0,12000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,38.0,15000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,33.0,18000,,Si Lom,Bang Rak,Bangkok
1,1.0,33.0,26000,,Wang Mai,Pathum Wan,Bangkok
1,1.0,44.78,37000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,46.0,37000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,40.0,15000,,Bang Na,Bang Na,Bangkok
2,1.0,42.0,18000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,44.0,35000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,33.0,15000,,Bang Khlo,Bang Kho Laem,Bangkok
1,1.0,39.0,22000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,26.0,15000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,32.0,15000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,30.0,18000,,Bang Chak,Phra Khanong,Bangkok
2,1.0,47.0,25000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,35.0,26000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,51.0,20000,,Bang Phongphang,Yan Nawa,Bangkok
1,1.0,53.0,23000,,Khlong Toei Nuea,Vadhana,Bangkok
2,1.0,45.0,26500,,Phra Khanong Nuea,Vadhana,Bangkok
2,1.0,52.0,32000,,Bang Na,Bang Na,Bangkok
1,1.0,30.0,12000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,37.0,27000,,Thung Mahamek,Sathon,Bangkok
2,1.0,47.0,35000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,34.0,15000,,Bang Na,Bang Na,Bangkok
1,1.0,34.0,32000,,Maha Phruettharam,Bang Rak,Bangkok
,1.0,26.0,18000,,Makkasan,Ratchathewi,Bangkok
1,1.0,34.0,30000,,Maha Phruettharam,Bang Rak,Bangkok
,1.0,26.0,17500,,Makkasan,Ratchathewi,Bangkok
1,1.0,30.0,18500,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,44.0,34000,,Thung Mahamek,Sathon,Bangkok
1,1.0,34.0,28500,,Khlong Toei Nuea,Vadhana,Bangkok
2,1.0,78.0,45000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,27.0,20000,,Thanon Phet Buri,Ratchathewi,Bangkok
1,1.0,44.0,36000,,Khlong Tan,Khlong Toei,Bangkok
2,1.0,45.0,24000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,30.0,20000,,Makkasan,Ratchathewi,Bangkok
1,1.0,35.0,11000,,Din Daeng,Din Daeng,Bangkok
2,1.0,69.0,16000,,Bang Na,Bang Na,Bangkok
1,1.0,30.0,14000,,Bang Kapi,Huai Khwang,Bangkok
2,1.0,85.0,20000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,72.0,22000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,31.0,9000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,45.0,22000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,45.0,17000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,45.0,23000,,Thung Phaya Thai,Ratchathewi,Bangkok
1,1.0,38.0,18000,,Phra Khanong,Khlong Toei,Bangkok
2,1.0,47.0,36000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,27.0,21000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,34.0,21000,,Din Daeng,Din Daeng,Bangkok
1,1.0,65.0,23500,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,61.0,38000,,Pathum Wan,Pathum Wan,Bangkok
1,1.0,65.0,7300000,,Thung Phaya Thai,Ratchathewi,Bangkok
1,1.0,57.5,16500,,Chong Nonsi,Yan Nawa,Bangkok
1,1.0,69.0,40000,,Khlong Ton Sai,Khlong San,Bangkok
1,1.0,52.0,21000,,Chong Nonsi,Yan Nawa,Bangkok
1,1.0,34.0,39000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,30.5,30000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,28.0,16000,,Thanon Phaya Thai,Ratchathewi,Bangkok
,1.0,47.0,16000,,Thung Wat Don,Sathon,Bangkok
2,1.0,35.0,16000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,31.0,29999,,Khlong Toei Nuea,Vadhana,Bangkok
2,1.0,48.0,54000,,Maha Phruettharam,Bang Rak,Bangkok
2,1.0,16.0,26000,,Din Daeng,Din Daeng,Bangkok
1,1.0,53.0,20000,,Bang Na,Bang Na,Bangkok
1,1.0,32.0,24000,,Makkasan,Ratchathewi,Bangkok
1,1.0,27.0,13000,,Phra Khanong Nuea,Vadhana,Bangkok
2,1.0,36.0,17000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,39.0,29000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,36.0,18000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,59.0,35000,,Khlong Tan,Khlong Toei,Bangkok
2,1.0,48.0,59000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,34.0,25000,,Sam Sen Nai,Phaya Thai,Bangkok
1,1.0,33.0,30000,,Si Phraya,Bang Rak,Bangkok
1,1.0,31.0,13500,,Bang Na,Bang Na,Bangkok
1,1.0,28.5,22000,,Si Phraya,Bang Rak,Bangkok
2,1.0,41.0,26000,,Makkasan,Ratchathewi,Bangkok
1,1.0,41.0,15500,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,44.0,39000,,Lumphini,Pathum Wan,Bangkok
1,1.0,50.0,28000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,28.0,16000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,51.0,42000,,Khlong Toei Nuea,Vadhana,Bangkok
2,1.0,64.0,25000,,Bang Chak,Phra Khanong,Bangkok
2,1.0,83.0,37000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,34.0,23000,,Si Phraya,Bang Rak,Bangkok
1,1.0,35.0,29500,,Si Phraya,Bang Rak,Bangkok
1,1.0,32.0,15000,,Huai Khwang,Huai Khwang,Bangkok
2,1.0,50.0,17000,,Bang Na,Bang Na,Bangkok
1,1.0,32.0,15000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,30.0,20000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,28.0,18500,,Din Daeng,Din Daeng,Bangkok
2,1.0,61.28,30000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,42.0,27000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,32.0,19000,,Din Daeng,Din Daeng,Bangkok
1,1.0,33.0,21000,,Makkasan,Ratchathewi,Bangkok
1,1.0,41.0,20000,,Khlong Toei Nuea,Vadhana,Bangkok
,1.0,22.0,19000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,26.0,16900,,Makkasan,Ratchathewi,Bangkok
1,1.0,48.0,28000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,30.0,18900,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,32.0,20000,,Makkasan,Ratchathewi,Bangkok
1,1.0,32.0,25000,,Pathum Wan,Pathum Wan,Bangkok
2,1.0,59.0,45000,,Thanon Phaya Thai,Ratchathewi,Bangkok
,1.0,28.0,22000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,35.0,28000,,Khlong Toei Nuea,Vadhana,Bangkok
2,1.0,42.0,23000,,Makkasan,Ratchathewi,Bangkok
1,1.0,54.5,16000,,Bang Kapi,Huai Khwang,Bangkok
,1.0,25.0,17000,,Makkasan,Ratchathewi,Bangkok
1,2.0,70.0,24000,,Khlong Toei,Khlong Toei,Bangkok
2,1.0,60.0,22000,,Phra Khanong Nuea,Vadhana,Bangkok
2,1.0,42.0,28000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,29.0,24000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,34.0,29999,,Wang Mai,Pathum Wan,Bangkok
2,1.0,70.0,63000,,Lumphini,Pathum Wan,Bangkok
1,1.0,60.0,16000,,Bang Na,Bang Na,Bangkok
1,1.0,38.0,31000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,57.0,45000,,Khlong Tan,Khlong Toei,Bangkok
2,1.0,46.0,19000,,Thung Phaya Thai,Ratchathewi,Bangkok
2,1.0,48.0,22000,,Makkasan,Ratchathewi,Bangkok
1,1.0,35.0,18000,,Suan Luang,Suan Luang,Bangkok
,1.0,26.52,18000,,Makkasan,Ratchathewi,Bangkok
1,1.0,39.0,25000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,34.0,20000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,54.0,30000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,35.0,16000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,35.0,16000,,Din Daeng,Din Daeng,Bangkok
1,1.0,31.0,14000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,27.0,9000,,Bang Na,Bang Na,Bangkok
1,1.0,25.0,19000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,34.0,22000,,Si Phraya,Bang Rak,Bangkok
1,1.0,40.0,15000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,39.0,24500,,Thung Mahamek,Sathon,Bangkok
2,1.0,65.0,26000,,Makkasan,Ratchathewi,Bangkok
,1.0,27.0,17000,,Huai Khwang,Huai Khwang,Bangkok
,1.0,28.0,23000,,Lumphini,Pathum Wan,Bangkok
1,1.0,52.0,43000,,Lumphini,Pathum Wan,Bangkok
1,1.0,35.0,22500,,Bang Chak,Phra Khanong,Bangkok
1,1.0,45.0,29000,,Makkasan,Ratchathewi,Bangkok
1,1.0,48.0,23000,,Makkasan,Ratchathewi,Bangkok
1,1.0,35.0,18000,,Yan Nawa,Sathon,Bangkok
1,1.0,36.0,22000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,9.0,16000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,52.0,28000,,Maha Phruettharam,Bang Rak,Bangkok
,1.0,35.0,19000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,77.0,65000,,Suriyawong,Bang Rak,Bangkok
